     1        P 1            P 1              PAN$P1A000 
     2        P -1          -P 1              PAC$I1A000 
     3:a      P 2 1 1        P 2x             PMN$P2A000 
     4:a      P 21 1 1       P 2xa            PMN$P2A600
     5:a1     B 2 1 1        B 2x             BMN$P2A000 
     5:a2     C 2 1 1        C 2x             CMN$P2A000 
     5:a3     I 2 1 1        I 2x             IMN$P2A000
     6:a      P m 1 1        P -2x            PMN$I2A000
     7:a1     P b 1 1        P -2xb           PMN$I2A060 
     7:a2     P n 1 1        P -2xbc          PMN$I2A066 
     7:a3     P c 1 1        P -2xc           PMN$I2A006 
     8:a1     B m 1 1        B -2x            BMN$I2A000 
     8:a2     C m 1 1        C -2x            CMN$I2A000 
     8:a3     I m 1 1        I -2x            IMN$I2A000
     9:a1     B b 1 1        B -2xb           BMN$I2A060 
     9:a2     C n 1 1        C -2xbc          CMN$I2A066 
     9:a3     I c 1 1        I -2xc           IMN$I2A006
     9:-a1    C c 1 1        C -2xc           CMN$I2A006 
     9:-a2    B n 1 1        B -2xbc          BMN$I2A066 
     9:-a3    I b 1 1        I -2xb           IMN$I2A060
    10:a      P 2/m 1 1     -P 2x             PMC$I1A000$P2A000
    11:a      P 21/m 1 1    -P 2xa            PMC$I1A000$P2A600 
    12:a1     B 2/m 1 1     -B 2x             BMC$I1A000$P2A000 
    12:a2     C 2/m 1 1     -C 2x             CMC$I1A000$P2A000 
    12:a3     I 2/m 1 1     -I 2x             IMC$I1A000$P2A000 
    13:a1     P 2/b 1 1     -P 2xb            PMC$I1A000$P2A060 
    13:a2     P 2/n 1 1     -P 2xbc           PMC$I1A000$P2A066 
    13:a3     P 2/c 1 1     -P 2xc            PMC$I1A000$P2A006
    14:a1     P 21/b 1 1    -P 2xab           PMC$I1A000$P2A660 
    14:a2     P 21/n 1 1    -P 2xn            PMC$I1A000$P2A666 
    14:a3     P 21/c 1 1    -P 2xac           PMC$I1A000$P2A606 
    15:a1     B 2/b 1 1     -B 2xb            BMC$I1A000$P2A060 
    15:a2     C 2/n 1 1     -C 2xbc           CMC$I1A000$P2A066 
    15:a3     I 2/c 1 1     -I 2xc            IMC$I1A000$P2A006
    15:-a1    C 2/c 1 1     -C 2xc            CMC$I1A000$P2A006 
    15:-a2    B 2/n 1 1     -B 2xbc           BMC$I1A000$P2A066 
    15:-a3    I 2/b 1 1     -I 2xb            IMC$I1A000$P2A060
     3:b      P 1 2 1        P 2y             PMN$P2B000 
     4:b      P 1 21 1       P 2yb            PMN$P2B060
     5:b1     C 1 2 1        C 2y             CMN$P2B000 
     5:b2     A 1 2 1        A 2y             AMN$P2B000 
     5:b3     I 1 2 1        I 2y             IMN$P2B000
     6:b      P 1 m 1        P -2y            PMN$I2B000
     7:b1     P 1 c 1        P -2yc           PMN$I2B006 
     7:b2     P 1 n 1        P -2yac          PMN$I2B606 
     7:b3     P 1 a 1        P -2ya           PMN$I2B600 
     8:b1     C 1 m 1        C -2y            CMN$I2B000 
     8:b2     A 1 m 1        A -2y            AMN$I2B000 
     8:b3     I 1 m 1        I -2y            IMN$I2B000
     9:b1     C 1 c 1        C -2yc           CMN$I2B006 
     9:b2     A 1 n 1        A -2yac          AMN$I2B606 
     9:b3     I 1 a 1        I -2ya           IMN$I2B600
     9:-b1    A 1 a 1        A -2ya           AMN$I2B600 
     9:-b2    C 1 n 1        C -2ybc          CMN$I2B606 
     9:-b3    I 1 c 1        I -2yc           IMN$I2B006
    10:b      P 1 2/m 1     -P 2y             PMC$I1A000$P2B000
    11:b      P 1 21/m 1    -P 2yb            PMC$I1A000$P2B060 
    12:b1     C 1 2/m 1     -C 2y             CMC$I1A000$P2B000 
    12:b2     A 1 2/m 1     -A 2y             AMC$I1A000$P2B000 
    12:b3     I 1 2/m 1     -I 2y             IMC$I1A000$P2B000 
    13:b1     P 1 2/c 1     -P 2yc            PMC$I1A000$P2B006 
    13:b2     P 1 2/n 1     -P 2yac           PMC$I1A000$P2B606 
    13:b3     P 1 2/a 1     -P 2ya            PMC$I1A000$P2B600
    14:b1     P 1 21/c 1    -P 2ybc           PMC$I1A000$P2B066 
    14:b2     P 1 21/n 1    -P 2yn            PMC$I1A000$P2B666 
    14:b3     P 1 21/a 1    -P 2yab           PMC$I1A000$P2B660 
    15:b1     C 1 2/c 1     -C 2yc            CMC$I1A000$P2B006 
    15:b2     A 1 2/n 1     -A 2yac           AMC$I1A000$P2B606 
    15:b3     I 1 2/a 1     -I 2ya            IMC$I1A000$P2B600
    15:-b1    A 1 2/a 1     -A 2ya            AMC$I1A000$P2B600 
    15:-b2    C 1 2/n 1     -C 2ybc           CMC$I1A000$P2B606 
    15:-b3    I 1 2/c 1     -I 2yc            IMC$I1A000$P2B006
     3:c      P 1 1 2        P 2              PMN$P2C000  
     4:c      P 1 1 21       P 2c             PMN$P2C006  
     5:c1     A 1 1 2        A 2              AMN$P2C000 
     5:c2     B 1 1 2        B 2              BMN$P2C000 
     5:c3     I 1 1 2        I 2              IMN$P2C000  
     6:c      P 1 1 m        P -2             PMN$I2C000 
     7:c1     P 1 1 a        P -2a            PMN$I2C600 
     7:c2     P 1 1 n        P -2ab           PMN$I2C660 
     7:c3     P 1 1 b        P -2b            PMN$I2C060 
